"","X1426642_at","X1418765_at","X1420085_at","X1418863_at","X1425463_at","X1416967_at","File.name","Embryonic.day","Total.number.of.cells","lineage","genotype","ScanDate","sampleGroup","sampleColour"
"1 E3.25",6.60837416758093,11.9563020232962,3.02771489507395,4.84313678458682,5.50061848694234,1.73121730904331,"1_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"2 E3.25",7.38525279170537,9.2330604223062,9.2930164833314,5.53001617687309,6.16090045613974,9.69703824289936,"2_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"3 E3.25",5.68325468571778,11.2433671891821,2.94014204987002,4.4180591827606,4.584961196863,4.16124031193998,"3_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"4 E3.25",6.39476015140898,10.8181677083036,9.71524300049331,5.98231362960027,4.75343878342235,9.54012347061584,"4_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"5 E3.25",7.87415547504703,10.0979039795885,8.92422777122904,4.92358016556449,4.62972803301723,8.7053401179627,"5_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"6 E3.25",6.10493174221851,10.3901776370411,11.325951653495,4.0685197891335,4.1656917546113,8.69622761314818,"6_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"7 E3.25",5.52815584768335,10.7716981170037,8.05526273186648,4.895993606968,4.24966997653576,5.21515770596403,"7_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"8 E3.25",5.80162221137974,9.1216227612615,9.44439683277343,4.38989843760841,4.21613087454491,9.09539987440454,"8_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"9 E3.25",7.62106807205005,10.4640114138465,3.97816897925231,4.38033951813008,4.50890953119716,9.03344678805145,"9_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"10 E3.25",8.50790628738667,10.9625258012865,8.92851110904789,4.38228970711153,4.1574793775003,7.97982185073492,"10_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"11 E3.25",7.62074333563915,10.9869069275518,6.52761146950242,4.78133375968738,4.48183293116162,5.94636164505615,"11_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"12 E3.25",9.02886112262185,10.9086897925954,8.31817574061839,4.07063731805329,4.25223711822462,9.88308528699421,"12_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"13 E3.25",5.85304711072606,9.8803270079266,3.89170136733595,4.45324452924195,4.69056366661657,9.61332808460607,"13_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"14 E3.25",8.57217232273274,6.98871661848159,10.5978185952196,4.12434959459374,4.82291311829741,8.55302681117188,"14_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"15 E3.25",7.38018009934019,9.85575084694863,10.5952452180733,4.54665418400737,4.63291674577038,8.68804630726186,"15_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"16 E3.25",8.54113029610713,9.48599745363483,9.15307809623819,4.20039849248395,4.58280181724947,8.61300127684762,"16_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"17 E3.25",8.24603769147865,10.2191123716003,10.2943356033753,4.15978804653376,4.38794912320551,8.68131358892217,"17_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"18 E3.25",6.40052856921607,9.95234048869255,2.73070264647491,4.01677291761381,4.1801923671781,9.42838619734762,"18_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"19 E3.25",9.22759519906282,11.283496401287,8.23311662144866,4.15613548741796,4.07194384391093,9.86758461510339,"19_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"20 E3.25",10.3739959158282,7.88274044482726,10.5405703004456,3.9362603475514,4.16881028589973,10.4429174008643,"20_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"21 E3.25",10.1114042207871,9.81588973889513,10.830471694534,4.0947798268907,3.81471524164647,10.3362821723194,"21_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"22 E3.25",7.85706201856986,10.9516133543207,2.92202630537464,4.13259074054223,6.43207953428755,10.8582473291655,"22_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"23 E3.25",10.6420526690436,10.200934451492,10.1383550391357,5.38001649804935,4.20580941663174,10.7190608440504,"23_C41_IN","E3.25","41","","WT","2010-07-02","E3.25","#CAB2D6"
"24 E3.25",10.0966926370908,10.8562146276999,9.52660461714829,7.46917904691517,4.524267841394,4.0828135864604,"24_C41_IN","E3.25","41","","WT","2010-07-02","E3.25","#CAB2D6"
"25 E3.25",10.8586876804432,10.1899726413014,6.87462914228715,8.18656639321341,4.69281025298605,10.3892390131107,"25_C41_IN","E3.25","41","","WT","2010-07-02","E3.25","#CAB2D6"
"26 E3.25",5.24251738592643,10.6273890623081,8.49965288877868,5.92819485677792,4.1499893606611,9.10957293610843,"26_C41_IN","E3.25","41","","WT","2010-07-02","E3.25","#CAB2D6"
"27 E3.25",10.6417945223212,10.7594753717702,10.9151350969558,6.1771631294235,4.93792725686762,10.6274477183875,"27_C49_IN","E3.25","49","","WT","2010-07-02","E3.25","#CAB2D6"
"28 E3.25",9.54964055684736,11.5021623660397,3.0241536579849,6.29707298108624,3.87294668597206,11.0984073310797,"28_C49_IN","E3.25","49","","WT","2010-07-02","E3.25","#CAB2D6"
"29 E3.25",10.2472859744545,10.1783430097257,9.92420411330305,6.44321224348221,6.78314338686788,11.2360903037284,"29_C49_IN","E3.25","49","","WT","2010-07-02","E3.25","#CAB2D6"
"30 E3.25",8.53199321295461,9.2401228858416,8.34028216829779,4.21259366538796,4.01950332806384,10.9818936085434,"30_C49_IN","E3.25","49","","WT","2010-07-02","E3.25","#CAB2D6"
"31 E3.25",11.2159208408719,10.5674784128976,9.00546083402459,4.69538096867612,3.69331973520853,11.2439127254826,"31_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"32 E3.25",10.7872640567296,9.80145371367828,10.9153084406189,4.21496133814361,4.07879953267801,11.1334220688501,"32_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"33 E3.25",7.40004008767509,11.8246047803507,2.85103865903574,3.60785735397606,4.37111036819057,2.06605471609,"33_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"34 E3.25",10.2974733278171,10.3700545746637,2.88449800017626,4.72484872364207,7.13952246264865,11.3424118721959,"34_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"35 E3.25",11.1557880419199,8.57066689565273,3.30976568051959,3.89649505503276,7.75744387641013,10.0753666623763,"35_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"36 E3.25",9.87269465012073,9.57611449745444,9.82569366055567,3.9918401202394,4.23399014332281,10.7987548218125,"36_C50_IN","E3.25","50","","WT","2010-07-02","E3.25","#CAB2D6"
"37 E3.5 (PE)",10.076553087193,9.90937863499816,3.08989906884327,9.80801649651206,7.2132545486754,9.835323659448,"37_C62_PE","E3.5","62","PE","WT","2010-06-30","E3.5 (PE)","#B2DF8A"
"38 E3.5 (PE)",10.3971244127812,9.21680958601011,2.95151075288937,8.60770982097872,4.6728862222216,8.74755765474922,"38_C62_PE","E3.5","62","PE","WT","2010-06-30","E3.5 (PE)","#B2DF8A"
"39 E3.5 (EPI)",11.7456989289157,4.53167387184029,10.114983672267,4.14006852098996,4.20640784183857,10.4491242171,"39_C62_EPI","E3.5","62","EPI","WT","2010-06-30","E3.5 (EPI)","#A6CEE3"
"40 E3.5 (EPI)",11.5990501884034,3.86637065547499,11.0681729682868,6.00691236980045,3.93968645199679,9.9890426482275,"40_C62_EPI","E3.5","62","EPI","WT","2010-06-30","E3.5 (EPI)","#A6CEE3"
"41 E3.5 (PE)",9.89547022649371,9.70030971728887,2.8744624045217,9.64205697929334,3.92027894668403,8.73880210209885,"41_C62_PE","E3.5","62","PE","WT","2010-07-01","E3.5 (PE)","#B2DF8A"
"42 E3.5 (EPI)",11.7449010964958,8.70498259365845,12.2600941331079,4.12071799753197,4.1924234619113,10.7340939457277,"42_C62_EPI","E3.5","62","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"43 E3.5 (PE)",11.841852338838,8.21415417784115,2.7260485662928,8.42023579106365,4.46208508752267,9.50849496184714,"43_C75_PE","E3.5","75","PE","WT","2010-07-01","E3.5 (PE)","#B2DF8A"
"44 E3.5 (EPI)",11.218480983215,8.62352956201751,12.0603872078686,4.94300550668004,4.13856847292254,10.2328455479853,"44_C75_EPI","E3.5","75","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"45 E3.5 (EPI)",10.1477393733309,5.84047534876146,8.95955977534396,4.25033219918965,4.25562542369448,10.8464245772003,"45_C75_EPI","E3.5","75","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"46 E3.5 (EPI)",11.8649014860489,8.44774240391139,11.289620098614,4.44242727672094,4.46353485562062,10.1082983576464,"46_C75_EPI","E3.5","75","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"47 E3.5 (EPI)",11.6057727163589,5.49470330963946,10.0598573917398,4.43196957431441,5.90878145159148,9.7212490418967,"47_C75_EPI","E3.5","75","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"48 E3.5 (EPI)",11.5715301986217,7.39975954756731,11.1976431409308,4.01209131137669,4.10630647514445,10.6216528228301,"48_C75_EPI","E3.5","75","EPI","WT","2010-07-01","E3.5 (EPI)","#A6CEE3"
"49 E3.5 (PE)",11.5404244775855,8.37963834187189,2.76762802480049,8.22687077301785,4.00304751540101,9.20759690719673,"49_C75_PE","E3.5","75","PE","WT","2010-07-01","E3.5 (PE)","#B2DF8A"
"50 E3.5 (PE)",11.0394040916656,8.42289335017775,3.07680542028272,8.80914260801688,5.9767698208725,6.88413505887932,"50_C75_PE","E3.5","75","PE","WT","2010-07-01","E3.5 (PE)","#B2DF8A"
"51 E3.5 (PE)",11.1050799745942,9.68711111619101,2.89678308070931,9.84662279214906,6.1746829059612,5.90633586483862,"51_C91_PE","E3.5","91","PE","WT","2010-09-16","E3.5 (PE)","#B2DF8A"
"52 E3.5 (PE)",11.0282332584366,8.2450358987998,2.51238676467849,9.25888337908107,4.89540312146362,8.32502715851644,"52_C91_PE","E3.5","91","PE","WT","2010-09-16","E3.5 (PE)","#B2DF8A"
"53 E3.5 (PE)",11.3640819530283,8.30752662195871,2.80518226935466,9.96312644476302,4.24292473540003,4.81765416515197,"53_C91_PE","E3.5","91","PE","WT","2010-09-16","E3.5 (PE)","#B2DF8A"
"54 E3.5 (PE)",11.172855159024,7.94723789939097,2.69717846368287,6.03069707794087,4.31259541624555,10.0430290012039,"54_C91_PE","E3.5","91","PE","WT","2010-09-16","E3.5 (PE)","#B2DF8A"
"55 E3.5 (EPI)",5.62568217168711,10.5831768980216,7.54421338336644,4.37044815964139,3.98400354062156,8.10620758461014,"55_C91_EPI","E3.5","91","EPI","WT","2010-09-16","E3.5 (EPI)","#A6CEE3"
"56 E3.5 (EPI)",11.3811378906536,4.75929169974325,11.8439761898995,3.9444531905125,3.63587026702559,11.1801938239691,"56_C91_EPI","E3.5","91","EPI","WT","2010-09-16","E3.5 (EPI)","#A6CEE3"
"57 E3.5 (EPI)",11.0932286827623,4.55855498259799,11.4006765118896,4.17352752979589,3.87828275776817,11.2350235024011,"57_C91_EPI","E3.5","91","EPI","WT","2010-09-16","E3.5 (EPI)","#A6CEE3"
"58 E3.5 (PE)",11.1850614630319,5.97496034458236,2.66661104571763,8.68989777106406,7.50091359920661,5.98528478555449,"58_C91_PE","E3.5","91","PE","WT","2010-09-16","E3.5 (PE)","#B2DF8A"
"59 E4.5 (PE)",8.08519276416302,9.43734951693852,2.84165074434741,10.359538753218,4.23231809889755,2.24034799268711,"59_C207_PE","E4.5","207","PE","WT","2010-07-01","E4.5 (PE)","#33A02C"
"60 E4.5 (EPI)",11.2172145721146,4.92350216053862,11.3840950703134,4.55765852501726,5.69324863375579,11.1284353776126,"60_C207_EPI","E4.5","207","EPI","WT","2010-07-01","E4.5 (EPI)","#1F78B4"
"61 E4.5 (PE)",4.9995765356019,10.1211807194115,3.0406569642505,10.2372585898199,6.80282816365706,2.6770008165006,"61_C207_PE","E4.5","207","PE","WT","2010-07-01","E4.5 (PE)","#33A02C"
"62 E4.5 (EPI)",11.4995573148085,5.15443919920764,11.1898680293717,4.00199082963382,3.98359800089723,9.92850076014402,"62_C207_EPI","E4.5","207","EPI","WT","2010-07-01","E4.5 (EPI)","#1F78B4"
"63 E4.5 (EPI)",11.8780877952554,4.46016559833607,11.5037427788425,4.30538583456738,4.10349954218925,9.99329344174879,"63_C207_EPI","E4.5","207","EPI","WT","2010-07-01","E4.5 (EPI)","#1F78B4"
"64 E4.5 (EPI)",12.2508975985216,4.95905300793594,11.3680802193102,4.10383697361388,4.2073842319443,10.6176095996378,"64_C207_EPI","E4.5","207","EPI","WT","2010-07-01","E4.5 (EPI)","#1F78B4"
"65 E4.5 (PE)",8.90020694431915,10.6659293773984,2.84277362457964,10.1501005224259,8.75530832999095,1.61396011440134,"65_C207_PE","E4.5","207","PE","WT","2010-07-02","E4.5 (PE)","#33A02C"
"66 E4.5 (PE)",8.33249276817513,6.13874234056779,2.79653422921764,9.19312542809565,6.00350909141989,2.060739070323,"66_C207_PE","E4.5","207","PE","WT","2010-07-02","E4.5 (PE)","#33A02C"
"67 E3.25 (FGF4-KO)",4.69873785602762,12.8146709144301,2.96172590163822,4.40412867849743,3.91188242540614,5.20660514316008,"67_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"68 E3.25 (FGF4-KO)",3.89001992694359,12.3892162168214,2.89452573172077,3.90714786038803,4.37847758824042,3.09241836298861,"68_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"69 E3.25 (FGF4-KO)",4.02711849219468,12.7919266870751,3.34152025749765,3.90639240159173,4.07578265716512,5.30454552953375,"69_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"70 E3.25 (FGF4-KO)",5.599905782876,12.1556419549458,3.26404682730272,4.54103732803254,4.09302212407752,9.37441779241261,"70_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"71 E3.25 (FGF4-KO)",8.62930645770841,12.1878536732628,3.24666057144022,4.81384387426846,5.02997796987089,5.77564931302379,"71_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"72 E3.25 (FGF4-KO)",8.67334629659928,12.0419050658934,2.63617179097001,4.97159915414652,4.65290081775774,8.34072046039809,"72_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"73 E3.25 (FGF4-KO)",5.27489264191832,12.7089042555135,2.97072050997147,3.945756339591,4.22342269430099,2.21602254998323,"73_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"74 E3.25 (FGF4-KO)",4.81414264302466,12.3498797779361,2.89344509138975,4.31740096855018,4.95647348166981,2.9550872664577,"74_e3.25_KO","E3.25","32","FGF4-KO","FGF4-KO","2012-03-16","E3.25 (FGF4-KO)","#FDBF6F"
"75 E3.25 (FGF4-KO)",7.53210035169896,12.4722518905001,2.89623301679964,5.10433630962062,4.23514251362244,1.54511303567589,"84_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"76 E3.25 (FGF4-KO)",5.02861516580083,12.9521336523753,3.5209988098906,5.04736501831181,4.36439485071546,3.06799198296091,"85_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"77 E3.25 (FGF4-KO)",4.67166927583353,12.5328075529946,2.96399413681706,4.67783989656392,4.4958036945118,4.06146438022672,"86_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"78 E3.25 (FGF4-KO)",6.13882996243374,11.9296799450997,4.29099515736454,4.71416697760084,5.42810686626975,7.84397989579001,"87_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"79 E3.25 (FGF4-KO)",4.69356489475748,13.1693454630565,3.95983365969058,4.04435785665725,3.70545756901069,1.95606187597027,"88_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"80 E3.25 (FGF4-KO)",8.38405105531159,12.045009352652,3.54452300548734,4.35091599086499,3.22094662468221,2.36846191632844,"89_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"81 E3.25 (FGF4-KO)",4.70997019561178,13.0840945612008,3.39890619140391,6.57069957365438,4.32056562840289,2.52061507094807,"90_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"82 E3.25 (FGF4-KO)",5.75161247143661,12.5317291334134,2.92234153437023,4.11862836746389,3.79706583591048,2.08999689359091,"91_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"83 E3.25 (FGF4-KO)",6.73479410906007,12.4572365292337,3.0474663067168,4.55441753221337,4.54582122296059,2.05512148746285,"92_e3.25_KO","E3.25","NA","FGF4-KO","FGF4-KO","2012-08-16","E3.25 (FGF4-KO)","#FDBF6F"
"84 E3.5 (FGF4-KO)",10.3099420525559,11.2308338327127,2.88216471391604,4.16129478940535,4.21079087186669,10.3217294565684,"118_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"85 E3.5 (FGF4-KO)",9.8054640779181,10.3644662969574,4.46320417576369,4.18819320850042,4.36448640591175,11.1069459712684,"119_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"86 E3.5 (FGF4-KO)",10.7272641311487,10.3982223410839,5.30498861588235,4.96529775927093,3.97975899962952,11.5494006461594,"120_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"87 E3.5 (FGF4-KO)",8.14980290695696,10.0434723878859,3.61620305563583,4.32429384516733,5.18074239137665,10.9406582634606,"121_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"88 E3.5 (FGF4-KO)",9.86188303655694,10.5570227913881,3.10926155538512,4.30065641096217,3.92708298670084,11.0718726189159,"122_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"89 E3.5 (FGF4-KO)",9.22607034928634,8.72718785891443,2.83873168443959,5.54607347095874,4.28521537408302,10.5275347258908,"123_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"90 E3.5 (FGF4-KO)",9.37822920818371,9.19460371090975,2.84948914452646,3.64516927047699,4.00938486584902,10.9791156984357,"124_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"91 E3.5 (FGF4-KO)",9.70236550142571,9.65612456391425,2.83404055379861,4.80756630818605,4.5512088737616,11.2697740910032,"125_e3.5_KO","E3.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E3.5 (FGF4-KO)","#FF7F00"
"92 E4.5 (FGF4-KO)",11.5922079960639,4.22979405562786,3.56208100364844,5.09467989383732,5.04064331241628,11.3912584596772,"126_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"93 E4.5 (FGF4-KO)",12.4413295471489,4.4748334393676,2.9990124915904,4.31744421398221,4.2880626738856,11.8898293707781,"127_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"94 E4.5 (FGF4-KO)",12.133060192786,4.31620395966172,3.61049318522906,4.78827404292073,4.31443139352822,11.3968945101999,"128_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"95 E4.5 (FGF4-KO)",12.0794931041869,4.04263868163271,3.69335298169093,4.28887559455058,4.54931845314943,10.503609117396,"129_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"96 E4.5 (FGF4-KO)",12.3811621039294,3.91126585552838,3.64122470889782,4.53294923235576,4.1645407742093,12.4928983983109,"130_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"97 E4.5 (FGF4-KO)",12.5361226151002,4.69168239115889,3.88657766043019,3.60486014466258,5.06194576564602,11.8325788313401,"131_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"98 E4.5 (FGF4-KO)",12.3221803170118,4.78871357170624,7.3017818579308,4.21379459686766,4.68622120374147,11.2500608689755,"132_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"99 E4.5 (FGF4-KO)",12.4140289948106,4.35290622325185,6.03653188493954,4.55062144494642,4.43317918257809,11.2722096853686,"133_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"100 E4.5 (FGF4-KO)",12.172044945384,3.82084658928992,4.5643750625158,4.26106976382068,4.88097328164846,9.97120334152916,"134_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
"101 E4.5 (FGF4-KO)",12.4306304931258,5.52336118761688,3.45531012178737,4.81862169116781,4.41666751267163,11.8835405438493,"135_e4.5_KO","E4.5","NA","FGF4-KO","FGF4-KO","2013-03-05","E4.5 (FGF4-KO)","#E31A1C"
